,name,p,t,z,epsilon_B,gammabeta,gammabeta_err,Req,Req_err,Eeq,Eeq_err,B,B_err,Ne,Ne_err,number_density,number_density_err
41,SwJ1644+57,2.5,126,0.354,0.001,1.7494663160360389,0.17160026645388674,1.6015117472887708e+18,3.0912516073289005e+17,6.970271467709327e+51,6.01966295247437e+50,0.00730446331364709,0.0010275212550364139,6.1615417011147976e+53,2.9605518529216555e+52,0.6472562592973449,0.19868099925498636
42,SwJ1644+57,2.5,161,0.354,0.001,1.6622225553804928,0.2020406639966129,1.868864645857611e+18,4.1928954551424896e+17,7.507649686562205e+51,1.5074331642519644e+51,0.005877034723021411,0.001254301335440613,7.916600116835262e+53,1.394715131089268e+53,0.5273099571720307,0.29173133631209625
43,SwJ1644+57,2.5,197,0.354,0.001,1.656933589827639,0.15892693135368632,2.2618925104496532e+18,4.127070729131508e+17,9.287196679461425e+51,1.555739820348937e+51,0.004809182976433406,0.0008130438560187345,9.42343078071028e+53,1.6387612506783902e+53,0.3254360558443488,0.127062620293748
44,SwJ1644+57,2.5,216,0.354,0.001,1.515992115979143,0.14694652066633745,2.1047804152798835e+18,3.6736345508063904e+17,1.112861372149617e+52,1.756313461412723e+51,0.005495299747914341,0.0008498407254019357,1.2336748749911128e+54,1.6604085222411342e+53,0.46267225676165796,0.16878982426924602
45,SwJ1644+57,2.5,244,0.354,0.001,1.2565378784555987,0.11879867655874714,1.6915894992879383e+18,2.7927493665482858e+17,9.924923231605269e+51,2.0914906542439584e+51,0.006290181399682557,0.0007056739417790514,1.208806120017914e+54,2.0441667349081267e+53,0.6570548343982395,0.18744161932386136
46,SwJ1644+57,2.5,301,0.354,0.001,1.5009917649363569,0.25149239521472666,2.927478086146811e+18,8.810047204345293e+17,2.251690223377028e+52,1.0285834185914811e+52,0.004719646900257472,0.0008351127060243478,1.7719972650793322e+55,1.3828322550605447e+55,2.5112002131231637,3.3514900477156715
47,SwJ1644+57,2.5,390,0.354,0.001,1.7254290797820804,0.24379565643497433,4.875652971569166e+18,1.193463932610009e+18,2.549475784628603e+52,7.716609308751447e+51,0.00262118078507586,0.000514730762275376,1.9403654507721498e+55,8.881887300846408e+54,0.9267934016802937,1.176647149134007
48,SwJ1644+57,2.5,457,0.354,0.001,1.6965695150895377,0.3003608450299056,5.592608951399187e+18,1.7276695203540605e+18,3.07551127253928e+52,1.0875472550000447e+52,0.002393203312488032,0.0005789701522829271,2.4461751905352637e+55,1.1606620062403789e+55,0.9783186528760885,1.0638414406914036
49,SwJ1644+57,2.5,582,0.354,0.001,1.3324155713892927,0.12283780946506313,4.4805683420721413e+18,7.304480455511324e+17,3.459164994491095e+52,6.30130633737714e+51,0.0028351150046188093,0.00033355090340590683,5.529587778514785e+55,4.2880619352826224e+54,1.8732710383343143,0.9515041799811099
50,SwJ1644+57,2.5,645,0.354,0.001,1.8397901754939618,0.12690571989230517,8.969349116825872e+18,1.1159651942111354e+18,4.2169283627971494e+52,5.686526965622975e+51,0.0013855480520857584,0.00018309156684630028,3.305445351191938e+55,5.0858138445078284e+54,0.21248730192265883,0.09964152899529122
51,SwJ1644+57,2.5,791,0.354,0.001,1.0927596462609908,0.08949372475267243,4.279337279571449e+18,6.022758102653062e+17,3.8969940160149126e+52,4.413391719009849e+51,0.0029019288364158236,0.0005616790708711157,1.0020813211034019e+56,2.3665804039218405e+55,3.1492687777949584,1.8416509179780247
52,SwJ1644+57,2.5,1030,0.354,0.001,1.0998985505628704,0.061024858507522595,5.619387897911435e+18,5.4012108860194106e+17,4.342785551953587e+52,3.44910388746555e+51,0.0020081612858114974,0.00024959855459995143,1.0822875809335653e+56,1.612640091382955e+55,1.3804622813428584,0.5083513203147746
53,SwJ1644+57,2.5,1100,0.354,0.001,1.0237800628374565,0.030733369360171285,5.292472075572967e+18,2.7201595750633942e+17,4.2867142803337865e+52,2.7536225679039004e+51,0.0020786541962502197,0.00010905061119052024,1.2386617536156757e+56,7.805644432589637e+54,1.6600129968983826,0.28038556218656585
54,SwJ1644+57,2.5,1362,0.354,0.001,0.784989320747381,0.02385888326381706,4.208409856592946e+18,2.0639351244352307e+17,4.0138712367905236e+52,2.12487698918175e+51,0.0025194528274072583,0.00010954862430249863,2.0736697223098176e+56,7.817545011170859e+54,4.3561742092289935,0.6629255526107947
55,SwJ1644+57,2.5,1894,0.354,0.001,0.7907395700087434,0.0222636754123458,5.921255214554589e+18,2.6794602464145715e+17,4.94689309896981e+52,1.4647749589745899e+51,0.001683228625742324,0.00011590431764519863,2.5243215776159373e+56,2.11720618336897e+55,1.924833150747336,0.40531767043564926
